K,Trajectory,Method,Metric,Value
240,0,ANI-2,Approximate Entropy,0.041178
240,0,ANI-2,Lyapunov Exponent,0.326033
240,0,ANI-4,Correlation Dimension,2.365855
240,0,ANI-4,Approximate Entropy,0.041907
240,0,ANI-4,Lyapunov Exponent,0.409097
250,0,Reference,Correlation Dimension,2.182267
250,0,Reference,Approximate Entropy,0.054863
250,0,Reference,Lyapunov Exponent,0.390791
250,0,Baseline,Correlation Dimension,2.114583
250,0,Baseline,Approximate Entropy,0.057221
250,0,Baseline,Lyapunov Exponent,0.338575
250,0,ANI-2,Correlation Dimension,2.185525
250,0,ANI-2,Approximate Entropy,0.058099
250,0,ANI-2,Lyapunov Exponent,0.336534
250,0,ANI-4,Correlation Dimension,2.130759
250,0,ANI-4,Approximate Entropy,0.047012
250,0,ANI-4,Lyapunov Exponent,0.367590
260,0,Reference,Correlation Dimension,2.110482
260,0,Reference,Approximate Entropy,0.042752
260,0,Reference,Lyapunov Exponent,0.374715
260,0,Baseline,Correlation Dimension,2.083749
260,0,Baseline,Approximate Entropy,0.044347
260,0,Baseline,Lyapunov Exponent,0.338139
260,0,ANI-2,Correlation Dimension,2.136233
260,0,ANI-2,Approximate Entropy,0.042655
260,0,ANI-2,Lyapunov Exponent,0.324961
260,0,ANI-4,Correlation Dimension,2.117164
260,0,ANI-4,Approximate Entropy,0.047125
260,0,ANI-4,Lyapunov Exponent,0.313689
270,0,Reference,Correlation Dimension,2.047499
270,0,Reference,Approximate Entropy,0.044126
270,0,Reference,Lyapunov Exponent,0.397893
270,0,Baseline,Correlation Dimension,2.028274
270,0,Baseline,Approximate Entropy,0.042649
270,0,Baseline,Lyapunov Exponent,0.362084
270,0,ANI-2,Correlation Dimension,2.064119
270,0,ANI-2,Approximate Entropy,0.040393
270,0,ANI-2,Lyapunov Exponent,0.342204
270,0,ANI-4,Correlation Dimension,2.053582
270,0,ANI-4,Approximate Entropy,0.043620
270,0,ANI-4,Lyapunov Exponent,0.347112
280,0,Reference,Correlation Dimension,2.036267
280,0,Reference,Approximate Entropy,0.042066
280,0,Reference,Lyapunov Exponent,0.416799
280,0,Baseline,Correlation Dimension,2.024124
280,0,Baseline,Approximate Entropy,0.039940
280,0,Baseline,Lyapunov Exponent,0.374734
280,0,ANI-2,Correlation Dimension,2.062672
280,0,ANI-2,Approximate Entropy,0.041080
280,0,ANI-2,Lyapunov Exponent,0.401939
280,0,ANI-4,Correlation Dimension,2.055060
280,0,ANI-4,Approximate Entropy,0.044144
280,0,ANI-4,Lyapunov Exponent,0.391052
290,0,Reference,Correlation Dimension,2.008680
290,0,Reference,Approximate Entropy,0.043963
290,0,Reference,Lyapunov Exponent,0.401315
290,0,Baseline,Correlation Dimension,1.981387
290,0,Baseline,Approximate Entropy,0.040618
290,0,Baseline,Lyapunov Exponent,0.428760
290,0,ANI-2,Correlation Dimension,2.030339
290,0,ANI-2,Approximate Entropy,0.040136
290,0,ANI-2,Lyapunov Exponent,0.450047
290,0,ANI-4,Correlation Dimension,1.963283
290,0,ANI-4,Approximate Entropy,0.047306
290,0,ANI-4,Lyapunov Exponent,0.369511
300,0,Reference,Correlation Dimension,2.020367
